two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('the', 'top')",6,777,5.592372004585745e-05,0.01538796688715491,783
"('more', 'on')",776,3,0.007232801125930897,5.941299956430467e-05,779
"('time', 'marxism')",776,1,0.007232801125930897,1.9804333188101555e-05,777
"('deal', 'old')",776,1,0.007232801125930897,1.9804333188101555e-05,777
"('called', 'green')",776,1,0.007232801125930897,1.9804333188101555e-05,777
"('old', 'time')",776,1,0.007232801125930897,1.9804333188101555e-05,777
"('the', 'senate')",9,765,8.388558006878618e-05,0.015150314888897691,774
"('using', 'twitter')",770,1,0.00717687740588504,1.9804333188101555e-05,771
"('are', 'suing')",769,1,0.007167556785877396,1.9804333188101555e-05,770
"('a', 'man')",760,9,0.00708367120580861,0.000178238998692914,769
"('legal', 'immigrants')",635,131,0.005918593704853247,0.002594367647641304,766
"('a', 'second')",2,761,1.8641240015285817e-05,0.015071097556145285,763
"('twitter', 'when')",757,1,0.007055709345785682,1.9804333188101555e-05,758
"('suing', 'twitter')",756,1,0.007046388725778039,1.9804333188101555e-05,757
"('you', 'using')",756,1,0.007046388725778039,1.9804333188101555e-05,757
"('trump', 'and')",24,727,0.0002236948801834298,0.014397750227749832,751
"('im', 'sick')",734,8,0.006841335085609895,0.00015843466550481244,742
